"","x"
"1",0
"2",1
"3",0
"4",0
"5",1
"6",0
"7",1
"8",1
"9",0
"10",0
"11",0
"12",0
"13",1
"14",1
"15",1
"16",0
"17",0
"18",0
"19",0
"20",0
"21",4
"22",1
"23",0
"24",0
"25",0
"26",1
"27",1
"28",2
"29",1
"30",1
"31",1
"32",2
"33",0
"34",0
"35",1
"36",0
"37",1
"38",1
"39",0
"40",0
"41",0
"42",0
"43",1
"44",0
"45",1
"46",2
"47",1
"48",1
"49",1
"50",0
"51",1
"52",0
"53",0
"54",0
"55",0
"56",2
"57",0
"58",1
"59",1
"60",0
"61",1
"62",2
"63",0
"64",0
"65",0
"66",0
"67",0
"68",1
"69",1
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",1
"77",1
"78",0
"79",0
"80",0
"81",2
"82",0
"83",3
"84",0
"85",1
"86",1
"87",1
"88",3
"89",1
"90",0
"91",1
"92",0
"93",0
"94",1
"95",0
"96",0
"97",1
"98",1
"99",0
"100",2
"101",0
"102",0
"103",0
"104",0
"105",0
"106",1
"107",0
"108",0
"109",1
"110",4
"111",1
"112",1
"113",0
"114",1
"115",0
"116",0
"117",2
"118",1
"119",0
"120",1
"121",2
"122",0
"123",0
"124",0
"125",1
"126",0
"127",0
"128",1
"129",0
"130",1
"131",1
"132",1
"133",0
"134",2
"135",1
"136",1
"137",0
"138",1
"139",0
"140",0
"141",1
"142",1
"143",0
"144",1
"145",0
"146",3
"147",0
"148",0
"149",0
"150",0
"151",2
"152",1
"153",0
"154",0
"155",1
"156",1
"157",0
"158",1
"159",1
"160",0
"161",0
"162",0
"163",2
"164",0
"165",1
"166",0
"167",0
"168",1
"169",0
"170",0
"171",1
"172",0
"173",3
"174",1
"175",1
"176",1
"177",0
"178",0
"179",1
"180",0
"181",0
"182",0
"183",0
"184",0
"185",1
"186",0
"187",1
"188",1
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",2
"196",1
"197",0
"198",0
"199",3
"200",2
"201",0
"202",0
"203",1
"204",0
"205",1
"206",0
"207",1
"208",1
"209",1
"210",1
"211",5
"212",0
"213",0
"214",0
"215",0
"216",1
"217",1
"218",1
"219",0
"220",1
"221",1
"222",0
"223",1
"224",1
"225",1
"226",1
"227",0
"228",2
"229",0
"230",1
"231",0
"232",2
"233",1
"234",0
"235",0
"236",0
"237",2
"238",2
"239",0
"240",1
"241",0
"242",0
"243",1
"244",0
"245",0
"246",1
"247",0
"248",0
"249",1
"250",2
"251",1
"252",2
"253",1
"254",2
"255",0
"256",1
"257",0
"258",0
"259",0
"260",1
"261",1
"262",1
"263",0
"264",1
"265",0
"266",1
"267",1
"268",0
"269",1
"270",0
"271",1
"272",0
"273",0
"274",0
"275",1
"276",0
"277",1
"278",0
"279",0
"280",0
"281",2
"282",2
"283",1
"284",0
"285",1
"286",0
"287",0
"288",0
"289",2
"290",0
"291",1
"292",1
"293",1
"294",0
"295",1
"296",1
"297",0
"298",1
"299",3
"300",1
"301",0
"302",0
"303",0
"304",0
"305",2
"306",0
"307",0
"308",0
"309",0
"310",1
"311",0
"312",0
"313",0
"314",1
"315",0
"316",3
"317",1
"318",0
"319",1
"320",1
"321",0
"322",0
"323",0
"324",1
"325",2
"326",1
"327",2
"328",1
"329",0
"330",0
"331",1
"332",0
"333",0
"334",1
"335",0
